"","type_of_receipt","recieves","wants"
"1","org",0.126,0.022
"2","compan",0.213,0.0426
"3","paper",0.713,0.678
"4","cart",0.235,0.274
"5","website",0.602,0.502
"6","socialmed",0.109,0.181
"7","apps",0.187,0.265
"8","na",0.022,0.031
