CURRENT METHOD,PREFERRED METHOD,,,,
,paper,website,cart,companions,apps
paper,308,212,85,308,84
website,188,219,63,219,60
apps,95,100,32,84,84
cart,64,85,64,64,28
social media,69,64,26,36,23
