"","method_disposal","recyclable_paper","nonrecyclable_paper","cardboard_boxboard","recyclable_glass","specialty_glass","recyclable_plastic","plastic_bag","bulky_plastic","polystyrene","recyclable_metals","specialty_metals","e_waste","misc"
"1","trash",0.074,0.872,0.0185,0.0426,0.6592,0.0333,0.4648,0.2926,0.537,0.0722,0.3407,0.02629,0.437
"2","recycle",0.894,0.022,0.909,0.8629,0.0777,0.9037,0.0648,0.3889,0.0444,0.8,0.1648,0.0241,0.0167
"3","dropoff",0.028,0.03,0.0519,0.0278,0.1204,0.0148,0.2611,0.1778,0.3148,0.0667,0.2796,0.4796,0.3759
"4","other",0.011,0.024,0.0148,0.0981,0.0518,0.0314,0.2389,0.063,0.0703,0.0814,0.1555,0.2241,0.2352
"5","na",0.069,0.081,0.066,0.0685,0.1277,0.0685,0.0777,0.0135,0.0685,0.0814,0.1241,0.1056,0.1074
