CURRENT METHOD,PREFERRED METHOD,,,,
,paper,website,cart,companions,apps
paper,0.57,0.39,0.16,0.57,0.16
website,0.35,0.41,0.12,0.41,0.11
apps,0.18,0.19,0.06,0.16,0.16
cart,0.12,0.16,0.12,0.12,0.05
social media,0.13,0.12,0.05,0.07,0.04
